COG,CAA-003_Cryo,TYR-006_Cryo,COH21_Cryo,CAA-CL-2_Ice,TYR-ICE-2_Ice,COH-CL-3_Ice,CAA-003_rel,TYR-006_rel,COH21_rel,CAA-CL-2_rel,TYR-ICE-2_rel,COH-CL-3_rel
J,1492.6,768.7,1996.6,48978.8,458.2,0,0.024,0.012,0.012,0.198,0.004,0
A,71.4,68,0,337,67.5,0,0.001,0.001,0,0.001,0.001,0
K,1257.6,5500.4,624.1,1561.3,1327.3,0,0.021,0.089,0.004,0.006,0.01,0
L,4735.1,1479.2,1559.6,2674.4,997.5,0,0.077,0.024,0.009,0.011,0.008,0
B,2036.1,6.4,0,277.4,354.3,0,0.033,0,0,0.001,0.003,0
D,2760.3,54.1,0,14843.8,470.2,0,0.045,0.001,0,0.06,0.004,0
Y,0,27.4,0,210.9,0,0,0,0,0,0.001,0,0
V,1356.9,368.8,3854.8,935.8,60.2,0,0.022,0.006,0.023,0.004,0,0
T,4508.7,465.4,159.2,2104.4,4841.5,0,0.073,0.008,0.001,0.008,0.038,0
M,6637,8850.7,7284.7,1242.9,1883.7,0,0.108,0.143,0.044,0.005,0.015,0
N,169,11246.7,695.4,5.6,944.9,0,0.003,0.182,0.004,0,0.007,0
Z,182.2,58.4,0,80.4,0,0,0.003,0.001,0,0,0,0
W,112.3,125.4,32.5,312.3,8.8,0,0.002,0.002,0,0.001,0,0
U,441.7,11305.6,4408.6,470.3,159.7,0,0.007,0.183,0.027,0.002,0.001,0
O,883.6,540.1,109,761.4,1948.1,0,0.014,0.009,0.001,0.003,0.015,0
X,0,0,0,0,0,0,0,0,0,0,0,0
C,4601.2,357.6,390.2,1867.2,10860.5,16.8,0.075,0.006,0.002,0.008,0.084,0.364
G,5627.5,3231.1,723.7,1823.1,182.3,0,0.092,0.052,0.004,0.007,0.001,0
E,2497,459.9,3668.7,274.5,2131.1,0,0.041,0.007,0.022,0.001,0.017,0
F,1814,307.5,3337.2,49,87.3,5.2,0.03,0.005,0.02,0,0.001,0.113
H,648.9,190.8,6777,33.3,283.9,0,0.011,0.003,0.041,0,0.002,0
I,1390.9,149.4,5.3,28.8,601.8,12.3,0.023,0.002,0,0,0.005,0.267
P,4769.3,338.7,100923.5,1172.7,1437.5,0,0.078,0.005,0.611,0.005,0.011,0
Q,437.7,111.6,1545.5,34.3,27.8,0,0.007,0.002,0.009,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0
S,9421.2,8771.3,14298.4,10168.9,90194.6,6.5,0.154,0.142,0.087,0.041,0.702,0.141
Unassigned,3493.2,6963.8,12808.4,157554,9222.7,5.3,0.057,0.113,0.078,0.636,0.072,0.115